date,mass_time,attendance,foot_traffic_count,capacity,event_type,weather_condition,holiday_flag,special_event_notes,day_of_week,month,quarter,attendance_rate,low_attendance_alert
2025-01-01,08:00,395,399,600,Holiday Mass,Sunny,1,New Year Mass,Wednesday,1,Q1,0.658,0
2025-01-01,17:00,324,349,550,Holiday Mass,Sunny,1,New Year Mass,Wednesday,1,Q1,0.589,0
2025-01-02,06:00,84,104,550,Regular Mass,Sunny,0,,Thursday,1,Q1,0.153,1
2025-01-04,17:00,40,60,550,Regular Mass,Sunny,0,Unexpected local disruption,Saturday,1,Q1,0.073,1
2025-01-05,06:00,171,175,550,Sunday Mass,Sunny,0,,Sunday,1,Q1,0.311,1
2025-01-05,08:00,296,306,600,Sunday Mass,Sunny,0,,Sunday,1,Q1,0.493,0
2025-01-05,10:00,338,367,600,Sunday Mass,Sunny,0,,Sunday,1,Q1,0.563,0
2025-01-05,17:00,241,262,550,Sunday Mass,Sunny,0,,Sunday,1,Q1,0.438,0
2025-01-07,17:00,113,131,550,Novena,Rainy,0,,Tuesday,1,Q1,0.205,1
2025-01-09,06:00,64,64,550,Regular Mass,Rainy,0,,Thursday,1,Q1,0.116,1
2025-01-11,10:00,161,177,550,Youth Mass,Cloudy,0,,Saturday,1,Q1,0.293,0
2025-01-11,17:00,98,98,550,Regular Mass,Cloudy,0,,Saturday,1,Q1,0.178,1
2025-01-12,06:00,189,220,550,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.344,1
2025-01-12,08:00,297,300,600,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.495,0
2025-01-12,10:00,353,374,600,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.588,0
2025-01-12,17:00,224,237,550,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.407,0
2025-01-14,17:00,133,139,550,Novena,Sunny,0,,Tuesday,1,Q1,0.242,1
2025-01-16,06:00,74,86,550,Regular Mass,Rainy,0,,Thursday,1,Q1,0.135,1
2025-01-18,17:00,114,114,550,Regular Mass,Sunny,0,,Saturday,1,Q1,0.207,1
2025-01-19,06:00,230,254,550,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.418,0
2025-01-19,08:00,283,305,600,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.472,0
2025-01-19,10:00,330,368,600,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.55,0
2025-01-19,17:00,221,239,550,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.402,0
2025-01-21,17:00,101,101,550,Novena,Rainy,0,,Tuesday,1,Q1,0.184,1
2025-01-23,06:00,87,89,550,Regular Mass,Cloudy,0,,Thursday,1,Q1,0.158,1
2025-01-25,09:00,57,57,550,Funeral,Cloudy,0,Unexpected local disruption,Saturday,1,Q1,0.104,0
2025-01-25,10:00,136,136,550,Youth Mass,Cloudy,0,,Saturday,1,Q1,0.247,0
2025-01-25,17:00,105,105,550,Regular Mass,Cloudy,0,,Saturday,1,Q1,0.191,1
2025-01-26,06:00,216,234,550,Sunday Mass,Sunny,0,,Sunday,1,Q1,0.393,0
2025-01-26,08:00,288,323,600,Sunday Mass,Sunny,0,,Sunday,1,Q1,0.48,0
2025-01-26,10:00,355,365,600,Sunday Mass,Sunny,0,,Sunday,1,Q1,0.592,0
2025-01-26,17:00,240,242,550,Sunday Mass,Sunny,0,,Sunday,1,Q1,0.436,0
2025-01-28,17:00,91,111,550,Novena,Rainy,0,,Tuesday,1,Q1,0.165,1
2025-01-30,06:00,100,108,550,Regular Mass,Sunny,0,,Thursday,1,Q1,0.182,1
2025-02-01,15:00,161,167,550,Parish Event,Sunny,0,,Saturday,2,Q1,0.293,0
2025-02-01,17:00,115,115,550,Regular Mass,Sunny,0,,Saturday,2,Q1,0.209,1
2025-02-02,06:00,187,187,550,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.34,1
2025-02-02,08:00,282,312,600,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.47,0
2025-02-02,10:00,329,348,600,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.548,0
2025-02-02,17:00,259,269,550,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.471,0
2025-02-04,17:00,117,118,550,Novena,Cloudy,0,,Tuesday,2,Q1,0.213,1
2025-02-05,13:00,82,84,550,Funeral,Cloudy,0,,Wednesday,2,Q1,0.149,0
2025-02-06,06:00,72,85,550,Regular Mass,Sunny,0,,Thursday,2,Q1,0.131,1
2025-02-08,10:00,150,150,550,Youth Mass,Cloudy,0,,Saturday,2,Q1,0.273,0
2025-02-08,17:00,89,100,550,Regular Mass,Cloudy,0,,Saturday,2,Q1,0.162,1
2025-02-09,06:00,201,216,550,Sunday Mass,Cloudy,0,,Sunday,2,Q1,0.365,0
2025-02-09,08:00,264,272,600,Sunday Mass,Cloudy,0,,Sunday,2,Q1,0.44,0
2025-02-09,10:00,323,340,600,Sunday Mass,Cloudy,0,,Sunday,2,Q1,0.538,0
2025-02-09,17:00,224,248,550,Sunday Mass,Cloudy,0,,Sunday,2,Q1,0.407,0
2025-02-11,17:00,106,124,550,Novena,Cloudy,0,,Tuesday,2,Q1,0.193,1
2025-02-13,06:00,69,69,550,Regular Mass,Sunny,0,,Thursday,2,Q1,0.125,1
2025-02-14,08:00,353,383,600,Holiday Mass,Cloudy,1,Ash Wednesday/Valentine Season,Friday,2,Q1,0.588,0
2025-02-14,17:00,275,296,550,Holiday Mass,Cloudy,1,Ash Wednesday/Valentine Season,Friday,2,Q1,0.5,0
2025-02-15,17:00,72,88,550,Regular Mass,Stormy,0,,Saturday,2,Q1,0.131,1
2025-02-16,06:00,188,200,550,Sunday Mass,Rainy,0,,Sunday,2,Q1,0.342,1
2025-02-16,08:00,249,258,600,Sunday Mass,Rainy,0,,Sunday,2,Q1,0.415,0
2025-02-16,10:00,290,309,600,Sunday Mass,Rainy,0,,Sunday,2,Q1,0.483,0
2025-02-16,17:00,201,211,550,Sunday Mass,Rainy,0,,Sunday,2,Q1,0.365,0
2025-02-18,17:00,132,145,550,Novena,Sunny,0,,Tuesday,2,Q1,0.24,1
2025-02-20,06:00,82,92,550,Regular Mass,Sunny,0,,Thursday,2,Q1,0.149,1
2025-02-22,10:00,166,166,550,Youth Mass,Sunny,0,,Saturday,2,Q1,0.302,0
2025-02-22,15:00,174,184,550,Parish Event,Sunny,0,,Saturday,2,Q1,0.316,0
2025-02-22,17:00,105,110,550,Regular Mass,Sunny,0,,Saturday,2,Q1,0.191,1
2025-02-23,06:00,163,179,550,Sunday Mass,Rainy,0,,Sunday,2,Q1,0.296,1
2025-02-23,08:00,246,269,600,Sunday Mass,Rainy,0,,Sunday,2,Q1,0.41,0
2025-02-23,10:00,298,298,600,Sunday Mass,Rainy,0,,Sunday,2,Q1,0.497,0
2025-02-23,17:00,219,241,550,Sunday Mass,Rainy,0,,Sunday,2,Q1,0.398,0
2025-02-25,17:00,109,110,550,Novena,Cloudy,0,,Tuesday,2,Q1,0.198,1
2025-02-27,06:00,84,101,550,Regular Mass,Sunny,0,,Thursday,2,Q1,0.153,1
2025-03-01,17:00,107,126,550,Regular Mass,Cloudy,0,,Saturday,3,Q1,0.195,1
2025-03-02,06:00,139,142,550,Sunday Mass,Stormy,0,,Sunday,3,Q1,0.253,1
2025-03-02,08:00,193,200,600,Sunday Mass,Stormy,0,,Sunday,3,Q1,0.322,1
2025-03-02,10:00,223,233,600,Sunday Mass,Stormy,0,,Sunday,3,Q1,0.372,0
2025-03-02,17:00,162,185,550,Sunday Mass,Stormy,0,,Sunday,3,Q1,0.295,1
2025-03-04,17:00,115,115,550,Novena,Sunny,0,,Tuesday,3,Q1,0.209,1
2025-03-06,06:00,97,108,550,Regular Mass,Sunny,0,,Thursday,3,Q1,0.176,1
2025-03-08,10:00,159,159,550,Youth Mass,Cloudy,0,,Saturday,3,Q1,0.289,0
2025-03-08,17:00,111,112,550,Regular Mass,Cloudy,0,,Saturday,3,Q1,0.202,1
2025-03-09,06:00,205,230,550,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.373,0
2025-03-09,08:00,303,329,600,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.505,0
2025-03-09,10:00,333,352,600,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.555,0
2025-03-09,17:00,244,280,550,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.444,0
2025-03-11,17:00,80,85,550,Novena,Stormy,0,,Tuesday,3,Q1,0.145,1
2025-03-13,06:00,82,82,550,Regular Mass,Sunny,0,,Thursday,3,Q1,0.149,1
2025-03-15,17:00,115,125,550,Regular Mass,Sunny,0,,Saturday,3,Q1,0.209,1
2025-03-16,06:00,197,201,550,Sunday Mass,Sunny,0,,Sunday,3,Q1,0.358,0
2025-03-16,08:00,297,332,600,Sunday Mass,Sunny,0,,Sunday,3,Q1,0.495,0
2025-03-16,10:00,353,393,600,Sunday Mass,Sunny,0,,Sunday,3,Q1,0.588,0
2025-03-16,17:00,251,258,550,Sunday Mass,Sunny,0,,Sunday,3,Q1,0.456,0
2025-03-18,17:00,108,125,550,Novena,Cloudy,0,,Tuesday,3,Q1,0.196,1
2025-03-20,06:00,67,72,550,Regular Mass,Stormy,0,,Thursday,3,Q1,0.122,1
2025-03-22,10:00,132,157,550,Youth Mass,Rainy,0,,Saturday,3,Q1,0.24,0
2025-03-22,17:00,82,94,550,Regular Mass,Rainy,0,,Saturday,3,Q1,0.149,1
2025-03-23,06:00,218,246,550,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.396,0
2025-03-23,08:00,307,330,600,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.512,0
2025-03-23,10:00,352,376,600,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.587,0
2025-03-23,17:00,239,247,550,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.435,0
2025-03-25,17:00,126,145,550,Novena,Sunny,0,,Tuesday,3,Q1,0.229,1
2025-03-27,06:00,82,94,550,Regular Mass,Cloudy,0,,Thursday,3,Q1,0.149,1
2025-03-29,08:00,366,384,600,Holiday Mass,Rainy,1,Holy Week,Saturday,3,Q1,0.61,0
2025-03-29,17:00,305,322,550,Holiday Mass,Rainy,1,Holy Week,Saturday,3,Q1,0.555,0
2025-03-29,17:00,131,131,550,Regular Mass,Rainy,1,Holy Week,Saturday,3,Q1,0.238,1
2025-03-30,06:00,198,220,550,Sunday Mass,Rainy,0,,Sunday,3,Q1,0.36,0
2025-03-30,08:00,259,281,600,Sunday Mass,Rainy,0,,Sunday,3,Q1,0.432,0
2025-03-30,10:00,294,327,600,Sunday Mass,Rainy,0,,Sunday,3,Q1,0.49,0
2025-03-30,13:00,79,79,550,Funeral,Rainy,0,,Sunday,3,Q1,0.144,0
2025-03-30,17:00,225,262,550,Sunday Mass,Rainy,0,,Sunday,3,Q1,0.409,0
2025-03-31,08:00,419,459,600,Holiday Mass,Rainy,1,Easter Sunday,Monday,3,Q1,0.698,0
2025-03-31,17:00,389,431,550,Holiday Mass,Rainy,1,Easter Sunday,Monday,3,Q1,0.707,0
2025-04-01,17:00,130,142,550,Novena,Sunny,0,,Tuesday,4,Q2,0.236,1
