date,mass_time,attendance,foot_traffic_count,capacity,event_type,weather_condition,holiday_flag,special_event_notes,day_of_week,month,quarter,attendance_rate,low_attendance_alert
2022-01-01,08:00,331,361,550,Holiday Mass,Sunny,1,New Year Mass,Saturday,1,Q1,0.602,0
2022-01-01,17:00,292,302,500,Holiday Mass,Sunny,1,New Year Mass,Saturday,1,Q1,0.584,0
2022-01-01,17:00,115,125,500,Regular Mass,Sunny,1,New Year Mass,Saturday,1,Q1,0.23,1
2022-01-02,06:00,96,98,500,Sunday Mass,Stormy,0,,Sunday,1,Q1,0.192,1
2022-01-02,08:00,140,146,550,Sunday Mass,Stormy,0,,Sunday,1,Q1,0.255,1
2022-01-02,10:00,157,175,550,Sunday Mass,Stormy,0,,Sunday,1,Q1,0.285,1
2022-01-02,17:00,119,128,500,Sunday Mass,Stormy,0,,Sunday,1,Q1,0.238,1
2022-01-04,17:00,95,112,500,Novena,Cloudy,0,,Tuesday,1,Q1,0.19,1
2022-01-06,06:00,73,73,500,Regular Mass,Sunny,0,,Thursday,1,Q1,0.146,1
2022-01-08,10:00,103,108,500,Youth Mass,Rainy,0,,Saturday,1,Q1,0.206,0
2022-01-08,17:00,64,79,500,Regular Mass,Rainy,0,,Saturday,1,Q1,0.128,1
2022-01-09,06:00,162,185,500,Sunday Mass,Sunny,0,,Sunday,1,Q1,0.324,1
2022-01-09,08:00,224,256,550,Sunday Mass,Sunny,0,,Sunday,1,Q1,0.407,0
2022-01-09,10:00,175,203,550,Sunday Mass,Sunny,0,Unexpected local disruption,Sunday,1,Q1,0.318,1
2022-01-09,17:00,206,223,500,Sunday Mass,Sunny,0,,Sunday,1,Q1,0.412,0
2022-01-11,17:00,88,100,500,Novena,Rainy,0,,Tuesday,1,Q1,0.176,1
2022-01-13,06:00,50,50,500,Regular Mass,Cloudy,0,,Thursday,1,Q1,0.1,1
2022-01-15,17:00,86,89,500,Regular Mass,Cloudy,0,,Saturday,1,Q1,0.172,1
2022-01-16,06:00,90,96,500,Sunday Mass,Stormy,0,,Sunday,1,Q1,0.18,1
2022-01-16,08:00,138,166,550,Sunday Mass,Stormy,0,,Sunday,1,Q1,0.251,1
2022-01-16,10:00,168,179,550,Sunday Mass,Stormy,0,,Sunday,1,Q1,0.305,1
2022-01-16,17:00,133,133,500,Sunday Mass,Stormy,0,,Sunday,1,Q1,0.266,1
2022-01-18,17:00,91,104,500,Novena,Sunny,0,,Tuesday,1,Q1,0.182,1
2022-01-20,06:00,57,58,500,Regular Mass,Cloudy,0,,Thursday,1,Q1,0.114,1
2022-01-22,10:00,90,95,500,Youth Mass,Sunny,0,Unexpected local disruption,Saturday,1,Q1,0.18,0
2022-01-22,17:00,86,92,500,Regular Mass,Sunny,0,,Saturday,1,Q1,0.172,1
2022-01-23,06:00,121,135,500,Sunday Mass,Rainy,0,,Sunday,1,Q1,0.242,1
2022-01-23,08:00,197,228,550,Sunday Mass,Rainy,0,,Sunday,1,Q1,0.358,0
2022-01-23,10:00,231,267,550,Sunday Mass,Rainy,0,,Sunday,1,Q1,0.42,0
2022-01-23,17:00,176,187,500,Sunday Mass,Rainy,0,,Sunday,1,Q1,0.352,0
2022-01-25,17:00,102,102,500,Novena,Sunny,0,,Tuesday,1,Q1,0.204,1
2022-01-26,13:00,57,62,500,Funeral,Cloudy,0,,Wednesday,1,Q1,0.114,0
2022-01-27,06:00,69,71,500,Regular Mass,Sunny,0,,Thursday,1,Q1,0.138,1
2022-01-27,09:00,84,86,500,Funeral,Sunny,0,,Thursday,1,Q1,0.168,0
2022-01-29,17:00,84,90,500,Regular Mass,Cloudy,0,,Saturday,1,Q1,0.168,1
2022-01-30,06:00,121,133,500,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.242,1
2022-01-30,08:00,253,275,550,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.46,0
2022-01-30,10:00,271,277,550,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.493,0
2022-01-30,17:00,197,202,500,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.394,0
2022-02-01,17:00,99,109,500,Novena,Cloudy,0,,Tuesday,2,Q1,0.198,1
2022-02-03,06:00,77,86,500,Regular Mass,Cloudy,0,,Thursday,2,Q1,0.154,1
2022-02-05,17:00,89,96,500,Regular Mass,Sunny,0,,Saturday,2,Q1,0.178,1
2022-02-06,06:00,174,181,500,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.348,1
2022-02-06,08:00,235,259,550,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.427,0
2022-02-06,10:00,273,278,550,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.496,0
2022-02-06,17:00,207,209,500,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.414,0
2022-02-08,17:00,61,61,500,Novena,Stormy,0,,Tuesday,2,Q1,0.122,1
2022-02-10,06:00,75,75,500,Regular Mass,Sunny,0,,Thursday,2,Q1,0.15,1
2022-02-11,15:00,110,123,500,Wedding,Cloudy,0,,Friday,2,Q1,0.22,0
2022-02-12,10:00,128,142,500,Youth Mass,Sunny,0,,Saturday,2,Q1,0.256,0
2022-02-12,17:00,89,90,500,Regular Mass,Sunny,0,,Saturday,2,Q1,0.178,1
2022-02-13,06:00,162,170,500,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.324,1
2022-02-13,08:00,241,270,550,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.438,0
2022-02-13,10:00,296,314,550,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.538,0
2022-02-13,17:00,194,203,500,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.388,0
2022-02-14,08:00,272,299,550,Holiday Mass,Cloudy,1,Ash Wednesday/Valentine Season,Monday,2,Q1,0.495,0
2022-02-14,17:00,226,250,500,Holiday Mass,Cloudy,1,Ash Wednesday/Valentine Season,Monday,2,Q1,0.452,0
2022-02-15,13:00,68,78,500,Funeral,Sunny,0,,Tuesday,2,Q1,0.136,0
2022-02-15,17:00,102,114,500,Novena,Sunny,0,,Tuesday,2,Q1,0.204,1
2022-02-17,06:00,48,52,500,Regular Mass,Sunny,0,,Thursday,2,Q1,0.096,1
2022-02-19,10:00,106,106,500,Wedding,Cloudy,0,,Saturday,2,Q1,0.212,0
2022-02-19,17:00,50,60,500,Regular Mass,Cloudy,0,Unexpected local disruption,Saturday,2,Q1,0.1,1
2022-02-20,06:00,160,163,500,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.32,1
2022-02-20,08:00,226,254,550,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.411,0
2022-02-20,10:00,276,285,550,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.502,0
2022-02-20,17:00,181,200,500,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.362,0
2022-02-22,17:00,103,112,500,Novena,Sunny,0,,Tuesday,2,Q1,0.206,1
2022-02-24,06:00,59,59,500,Regular Mass,Sunny,0,,Thursday,2,Q1,0.118,1
2022-02-25,10:00,131,133,500,Wedding,Sunny,0,,Friday,2,Q1,0.262,0
2022-02-26,10:00,124,129,500,Youth Mass,Cloudy,0,,Saturday,2,Q1,0.248,0
2022-02-26,17:00,91,104,500,Regular Mass,Cloudy,0,,Saturday,2,Q1,0.182,1
2022-02-27,06:00,147,157,500,Sunday Mass,Rainy,0,,Sunday,2,Q1,0.294,1
2022-02-27,08:00,195,195,550,Sunday Mass,Rainy,0,,Sunday,2,Q1,0.355,0
2022-02-27,10:00,258,287,550,Sunday Mass,Rainy,0,,Sunday,2,Q1,0.469,0
2022-02-27,17:00,166,182,500,Sunday Mass,Rainy,0,,Sunday,2,Q1,0.332,1
2022-03-01,17:00,88,91,500,Novena,Rainy,0,,Tuesday,3,Q1,0.176,1
2022-03-03,06:00,63,72,500,Regular Mass,Sunny,0,,Thursday,3,Q1,0.126,1
2022-03-05,17:00,87,105,500,Regular Mass,Cloudy,0,,Saturday,3,Q1,0.174,1
2022-03-06,06:00,166,186,500,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.332,1
2022-03-06,08:00,235,255,550,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.427,0
2022-03-06,10:00,276,305,550,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.502,0
2022-03-06,17:00,193,193,500,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.386,0
2022-03-08,17:00,81,91,500,Novena,Rainy,0,,Tuesday,3,Q1,0.162,1
2022-03-10,06:00,73,81,500,Regular Mass,Cloudy,0,Unexpected local disruption,Thursday,3,Q1,0.146,1
2022-03-12,08:00,147,172,500,Parish Event,Cloudy,0,,Saturday,3,Q1,0.294,0
2022-03-12,10:00,142,154,500,Youth Mass,Cloudy,0,,Saturday,3,Q1,0.284,0
2022-03-12,17:00,84,84,500,Regular Mass,Cloudy,0,,Saturday,3,Q1,0.168,1
2022-03-13,06:00,135,158,500,Sunday Mass,Rainy,0,,Sunday,3,Q1,0.27,1
2022-03-13,08:00,210,234,550,Sunday Mass,Rainy,0,,Sunday,3,Q1,0.382,0
2022-03-13,10:00,243,257,550,Sunday Mass,Rainy,0,,Sunday,3,Q1,0.442,0
2022-03-13,17:00,182,203,500,Sunday Mass,Rainy,0,,Sunday,3,Q1,0.364,0
2022-03-15,17:00,104,113,500,Novena,Cloudy,0,,Tuesday,3,Q1,0.208,1
2022-03-17,06:00,78,96,500,Regular Mass,Cloudy,0,,Thursday,3,Q1,0.156,1
2022-03-19,17:00,84,92,500,Regular Mass,Sunny,0,,Saturday,3,Q1,0.168,1
2022-03-20,06:00,167,185,500,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.334,1
2022-03-20,08:00,249,271,550,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.453,0
2022-03-20,10:00,279,290,550,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.507,0
2022-03-20,17:00,198,201,500,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.396,0
