date,mass_time,attendance,foot_traffic_count,capacity,event_type,weather_condition,holiday_flag,special_event_notes,day_of_week,month,quarter,attendance_rate,low_attendance_alert
1/1/2020,8:00,249,260,550,Holiday Mass,Sunny,1,New Year Mass,Wednesday,1,Q1,0.453,0
1/1/2020,17:00,228,256,500,Holiday Mass,Sunny,1,New Year Mass,Wednesday,1,Q1,0.456,0
1/2/2020,6:00,52,52,500,Regular Mass,Sunny,0,,Thursday,1,Q1,0.104,1
1/4/2020,17:00,83,85,500,Regular Mass,Sunny,0,,Saturday,1,Q1,0.166,1
1/5/2020,6:00,116,122,500,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.232,1
1/5/2020,8:00,180,194,550,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.327,1
1/5/2020,10:00,216,216,550,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.393,0
1/5/2020,17:00,168,168,500,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.336,1
1/7/2020,17:00,88,92,500,Novena,Sunny,0,,Tuesday,1,Q1,0.176,1
1/8/2020,13:00,62,78,500,Funeral,Sunny,0,,Wednesday,1,Q1,0.124,0
1/9/2020,6:00,28,28,500,Regular Mass,Stormy,0,,Thursday,1,Q1,0.056,1
1/11/2020,10:00,98,103,500,Youth Mass,Sunny,0,,Saturday,1,Q1,0.196,0
1/11/2020,17:00,73,85,500,Regular Mass,Sunny,0,,Saturday,1,Q1,0.146,1
1/12/2020,6:00,135,135,500,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.27,1
1/12/2020,8:00,193,207,550,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.351,0
1/12/2020,10:00,214,216,550,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.389,0
1/12/2020,17:00,190,200,500,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.38,0
1/14/2020,17:00,92,108,500,Novena,Cloudy,0,,Tuesday,1,Q1,0.184,1
1/16/2020,6:00,64,66,500,Regular Mass,Sunny,0,,Thursday,1,Q1,0.128,1
1/18/2020,9:00,66,74,500,Funeral,Sunny,0,,Saturday,1,Q1,0.132,0
1/18/2020,17:00,37,37,500,Regular Mass,Sunny,0,Unexpected local disruption,Saturday,1,Q1,0.074,1
1/19/2020,6:00,107,112,500,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.214,1
1/19/2020,8:00,188,210,550,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.342,1
1/19/2020,10:00,214,223,550,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.389,0
1/19/2020,17:00,172,185,500,Sunday Mass,Cloudy,0,,Sunday,1,Q1,0.344,1
1/21/2020,17:00,71,71,500,Novena,Cloudy,0,,Tuesday,1,Q1,0.142,1
1/23/2020,6:00,48,56,500,Regular Mass,Sunny,0,,Thursday,1,Q1,0.096,1
1/25/2020,10:00,102,112,500,Youth Mass,Sunny,0,,Saturday,1,Q1,0.204,0
1/25/2020,17:00,79,89,500,Regular Mass,Sunny,0,,Saturday,1,Q1,0.158,1
1/26/2020,6:00,130,138,500,Sunday Mass,Rainy,0,,Sunday,1,Q1,0.26,1
1/26/2020,8:00,172,185,550,Sunday Mass,Rainy,0,,Sunday,1,Q1,0.313,1
1/26/2020,10:00,193,203,550,Sunday Mass,Rainy,0,,Sunday,1,Q1,0.351,0
1/26/2020,17:00,141,145,500,Sunday Mass,Rainy,0,,Sunday,1,Q1,0.282,1
1/28/2020,17:00,85,103,500,Novena,Cloudy,0,,Tuesday,1,Q1,0.17,1
1/30/2020,6:00,63,67,500,Regular Mass,Sunny,0,,Thursday,1,Q1,0.126,1
2/1/2020,17:00,48,59,500,Regular Mass,Cloudy,0,Unexpected local disruption,Saturday,2,Q1,0.096,1
2/2/2020,6:00,97,100,500,Sunday Mass,Stormy,0,,Sunday,2,Q1,0.194,1
2/2/2020,8:00,130,142,550,Sunday Mass,Stormy,0,,Sunday,2,Q1,0.236,1
2/2/2020,10:00,143,154,550,Sunday Mass,Stormy,0,,Sunday,2,Q1,0.26,1
2/2/2020,17:00,116,127,500,Sunday Mass,Stormy,0,,Sunday,2,Q1,0.232,1
2/4/2020,17:00,85,96,500,Novena,Sunny,0,,Tuesday,2,Q1,0.17,1
2/6/2020,6:00,49,53,500,Regular Mass,Rainy,0,,Thursday,2,Q1,0.098,1
2/8/2020,10:00,99,112,500,Youth Mass,Sunny,0,,Saturday,2,Q1,0.198,0
2/8/2020,17:00,67,77,500,Regular Mass,Sunny,0,,Saturday,2,Q1,0.134,1
2/9/2020,6:00,161,180,500,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.322,1
2/9/2020,8:00,170,188,550,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.309,1
2/9/2020,10:00,215,219,550,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.391,0
2/9/2020,17:00,171,187,500,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.342,1
2/11/2020,17:00,72,87,500,Novena,Sunny,0,,Tuesday,2,Q1,0.144,1
2/13/2020,6:00,64,64,500,Regular Mass,Cloudy,0,,Thursday,2,Q1,0.128,1
2/14/2020,8:00,239,256,550,Holiday Mass,Sunny,1,Ash Wednesday/Valentine Season,Friday,2,Q1,0.435,0
2/14/2020,10:00,121,132,500,Wedding,Sunny,1,Ash Wednesday/Valentine Season,Friday,2,Q1,0.242,0
2/14/2020,17:00,193,216,500,Holiday Mass,Sunny,1,Ash Wednesday/Valentine Season,Friday,2,Q1,0.386,0
2/15/2020,17:00,73,86,500,Regular Mass,Cloudy,0,,Saturday,2,Q1,0.146,1
2/16/2020,6:00,148,164,500,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.296,1
2/16/2020,8:00,184,190,550,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.335,1
2/16/2020,10:00,206,231,550,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.375,0
2/16/2020,17:00,151,167,500,Sunday Mass,Sunny,0,,Sunday,2,Q1,0.302,1
2/18/2020,17:00,86,92,500,Novena,Sunny,0,,Tuesday,2,Q1,0.172,1
2/20/2020,6:00,58,58,500,Regular Mass,Cloudy,0,,Thursday,2,Q1,0.116,1
2/22/2020,10:00,104,112,500,Youth Mass,Cloudy,0,,Saturday,2,Q1,0.208,0
2/22/2020,17:00,56,56,500,Regular Mass,Cloudy,0,,Saturday,2,Q1,0.112,1
2/23/2020,6:00,132,136,500,Sunday Mass,Cloudy,0,,Sunday,2,Q1,0.264,1
2/23/2020,8:00,209,236,550,Sunday Mass,Cloudy,0,,Sunday,2,Q1,0.38,0
2/23/2020,10:00,217,240,550,Sunday Mass,Cloudy,0,,Sunday,2,Q1,0.395,0
2/23/2020,17:00,152,159,500,Sunday Mass,Cloudy,0,,Sunday,2,Q1,0.304,1
2/25/2020,17:00,80,92,500,Novena,Sunny,0,,Tuesday,2,Q1,0.16,1
2/27/2020,6:00,46,54,500,Regular Mass,Cloudy,0,,Thursday,2,Q1,0.092,1
2/29/2020,17:00,60,69,500,Regular Mass,Cloudy,0,,Saturday,2,Q1,0.12,1
3/1/2020,6:00,154,170,500,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.308,1
3/1/2020,8:00,195,216,550,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.355,0
3/1/2020,10:00,239,239,550,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.435,0
3/1/2020,17:00,159,171,500,Sunday Mass,Cloudy,0,,Sunday,3,Q1,0.318,1
3/3/2020,17:00,73,73,500,Novena,Rainy,0,,Tuesday,3,Q1,0.146,1
3/5/2020,6:00,51,51,500,Regular Mass,Cloudy,0,,Thursday,3,Q1,0.102,1
3/6/2020,10:00,104,121,500,Wedding,Cloudy,0,,Friday,3,Q1,0.208,0
